state,year,black,metro,unem,criv,crip,ag0_14,ag15_17,ag18_24,ag25_34,incpc,polpc,pris
1,80,0.256,0.632,0.08775,4.447868,44.47638,0.2408834,0.0575244,0.1322547,0.1538264,7673.176,235.0026,141.3347
1,81,0.2557,0.6362,0.10667,4.700944,44.24879,0.2367951,0.0546058,0.1324317,0.1584588,8442.723,227.2263,163.5336
1,82,0.2554,0.6404,0.14367,4.49758,42.05045,0.2336306,0.0519745,0.1317197,0.1584713,8855.808,219.4395,183.6948
1,83,0.2551,0.6446,0.13667,4.186833,37.08439,0.2313167,0.0495679,0.1304016,0.159634,9411.027,222.5979,218.6242
1,84,0.2548,0.6488,0.11167,4.353239,35.04226,0.2279858,0.048583,0.1277834,0.1609312,10267.68,214.3978,245.0686
1,85,0.2545,0.6530001,0.08908,4.630758,35.2668,0.2252706,0.0488296,0.1240876,0.1625975,10974.39,220.5386,259.2611
1,86,0.2542,0.6572,0.09833,5.665331,37.8735,0.2224449,0.0501002,0.1197395,0.1638276,11666.7,226.8036,270.5512
1,87,0.2539,0.6614,0.07775,5.686924,39.58107,0.2204234,0.0500623,0.1160648,0.1643836,12289.27,241.1706,288.1763
1,88,0.2536,0.6656,0.07208,5.728628,41.05592,0.2196819,0.0487078,0.1135686,0.1635189,13052.04,256.2624,313.873
1,89,0.2533,0.6698,0.07025,6.036973,41.25161,0.2191067,0.046402,0.1116625,0.1620347,13967.87,268.8834,307.0825
1,90,0.253,0.674,0.06775,7.069136,41.96889,0.2182716,0.0449383,0.1098765,0.1597531,14896.79,280.4938,336.8486
1,91,0.2527,0.6782,0.072,8.439609,45.20342,0.2176039,0.0442543,0.109291,0.1574572,15600.99,288.9731,379.3827
1,92,0.2524,0.6824,0.073,8.712421,43.94321,0.2153214,0.0439826,0.1087482,0.1546641,16494.38,290.0435,400.978
1,93,0.2521,0.6866,0.075,7.804156,40.98352,0.213518,0.0437067,0.1084309,0.1523764,17105.35,296.8474,409.3282
2,80,0.034,0.434,0.09592,4.773632,57.0398,0.2686567,0.0547264,0.1492537,0.2263682,13784.79,315.9204,132.0099
2,81,0.0347,0.4317,0.09233,6.069378,58.93301,0.2679426,0.0526316,0.138756,0.2344498,15385.25,305.9809,142.0398
2,82,0.0354,0.4294,0.09983,6.071111,54.39778,0.2644444,0.0488889,0.1311111,0.2355556,17119.22,280,170.5742
2,83,0.0361,0.4271,0.10308,6.02459,53.05123,0.2684426,0.0471311,0.125,0.2356557,17930.7,268.8524,193.7778
2,84,0.0368,0.4248,0.1015,6.046692,53.43969,0.270428,0.0466926,0.1206226,0.2315175,17625.55,286.1868,219.6721
2,85,0.0375,0.4225,0.09608,5.697369,51.85714,0.2763158,0.0469925,0.1165414,0.2255639,18430.64,294.5489,251.5564
2,86,0.0382,0.4202,0.10908,5.599265,55.7114,0.2794118,0.0477941,0.1139706,0.2169118,17821.21,277.2059,287.594
2,87,0.0389,0.4179,0.108,4.435993,47.94249,0.2820037,0.0482375,0.1113173,0.2096475,17252.17,318.7384,306.25
2,88,0.0396,0.4156,0.09225,4.948339,41.63469,0.2785978,0.0442804,0.1070111,0.2084871,17932.76,355.7196,327.8293
2,89,0.0403,0.4133,0.06742,4.795247,41.25594,0.2760512,0.0420475,0.1060329,0.2065813,19636.5,353.5649,343.5424
2,90,0.041,0.411,0.07025,5.207581,45.95126,0.2725632,0.0415162,0.101083,0.2039711,20848.02,350.1805,348.8117
2,91,0.0417,0.4087,0.085,6.149385,50.96661,0.2759227,0.0404218,0.0984183,0.1968365,21581.39,273.638,334.1155
2,92,0.0424,0.4064,0.091,6.593537,49.0068,0.2738095,0.042517,0.0969388,0.1887755,22235.41,233.8435,323.3743
2,93,0.0431,0.4041,0.076,7.607679,48.07178,0.2721202,0.0434057,0.0968281,0.1803005,23014.13,275.9599,330.6122
3,80,0.028,0.751,0.067,6.502207,75.1262,0.2373068,0.0540839,0.1357616,0.1633554,9332.06,299.4849,141.7678
3,81,0.0282,0.7549,0.06125,5.723132,69.95551,0.2320285,0.0505338,0.1345196,0.1708185,10250.01,302.6335,160.4121
3,82,0.0284,0.7588,0.09917,5.115917,65.45364,0.2290657,0.0477509,0.1321799,0.1726644,10476.1,294.6367,185.0178
